building_id,local_name_ru,ship_class_id,yard_level,speed_multiplier,time_multiplier,notes_ru
frigate_yard,Фрегатная верфь,frigate,1,1.0000,1.0000,
frigate_yard,Фрегатная верфь,frigate,2,1.0172,0.9831,
frigate_yard,Фрегатная верфь,frigate,3,1.0345,0.9667,
frigate_yard,Фрегатная верфь,frigate,4,1.0517,0.9508,
frigate_yard,Фрегатная верфь,frigate,5,1.0690,0.9355,
frigate_yard,Фрегатная верфь,frigate,6,1.0862,0.9206,
frigate_yard,Фрегатная верфь,frigate,7,1.1034,0.9062,
frigate_yard,Фрегатная верфь,frigate,8,1.1207,0.8923,
frigate_yard,Фрегатная верфь,frigate,9,1.1379,0.8788,
frigate_yard,Фрегатная верфь,frigate,10,1.1552,0.8657,
frigate_yard,Фрегатная верфь,frigate,11,1.1724,0.8529,
frigate_yard,Фрегатная верфь,frigate,12,1.1897,0.8406,
frigate_yard,Фрегатная верфь,frigate,13,1.2069,0.8286,
frigate_yard,Фрегатная верфь,frigate,14,1.2241,0.8169,
frigate_yard,Фрегатная верфь,frigate,15,1.2414,0.8056,
frigate_yard,Фрегатная верфь,frigate,16,1.2586,0.7945,
frigate_yard,Фрегатная верфь,frigate,17,1.2759,0.7838,
frigate_yard,Фрегатная верфь,frigate,18,1.2931,0.7733,
frigate_yard,Фрегатная верфь,frigate,19,1.3103,0.7632,
frigate_yard,Фрегатная верфь,frigate,20,1.3276,0.7532,
frigate_yard,Фрегатная верфь,frigate,21,1.3448,0.7436,
frigate_yard,Фрегатная верфь,frigate,22,1.3621,0.7342,
frigate_yard,Фрегатная верфь,frigate,23,1.3793,0.7250,
frigate_yard,Фрегатная верфь,frigate,24,1.3966,0.7160,
frigate_yard,Фрегатная верфь,frigate,25,1.4138,0.7073,
frigate_yard,Фрегатная верфь,frigate,26,1.4310,0.6988,
frigate_yard,Фрегатная верфь,frigate,27,1.4483,0.6905,
frigate_yard,Фрегатная верфь,frigate,28,1.4655,0.6824,
frigate_yard,Фрегатная верфь,frigate,29,1.4828,0.6744,
frigate_yard,Фрегатная верфь,frigate,30,1.5000,0.6667,"Классовая верфь ускоряет только свой класс кораблей; кривая ускорения такая же, как у старой общей верфи."
cruiser_yard,Крейсерская верфь,cruiser,1,1.0000,1.0000,
cruiser_yard,Крейсерская верфь,cruiser,2,1.0172,0.9831,
cruiser_yard,Крейсерская верфь,cruiser,3,1.0345,0.9667,
